Elemento,Valor
Pacientes Totales,45
Pacientes Prioritarios,9
Médicos Totales,15
Días Totales,10

Tiempo de Ejecución (s),61.42327904701233
Valor de la Función Objetivo,9236354.599999854
Nodos utilizados,0.0

x[1|2|2|50],1.0
x[2|2|9|62],1.0
x[3|14|10|36],1.0
x[4|1|7|42],1.0
x[5|15|9|66],1.0
x[6|2|3|51],1.0
x[7|4|8|55],1.0
x[8|7|10|60],1.0
x[9|3|8|53],1.0
x[10|12|10|47],1.0
x[11|10|7|48],1.0
x[12|5|10|56],1.0
x[13|9|9|42],1.0
x[14|7|1|55],1.0
x[15|9|2|45],1.0
x[16|1|6|38],1.0
x[17|4|1|36],1.0
x[18|10|6|40],1.0
x[19|15|2|53],1.0
x[20|14|7|54],1.0
x[21|2|6|54],1.0
x[22|1|6|35],1.0
x[23|14|6|36],1.0
x[24|7|2|54],1.0
x[25|15|7|36],1.0
x[26|13|9|56],1.0
x[27|9|9|62],1.0
x[28|3|9|55],1.0
x[29|13|1|44],1.0
x[30|15|7|52],1.0
x[31|3|7|66],1.0
x[32|7|9|42],1.0
x[33|12|3|38],1.0
x[34|6|6|38],1.0
x[35|1|9|42],1.0
x[36|11|1|36],1.0
x[37|14|6|41],1.0
x[38|7|7|47],1.0
x[39|8|9|36],1.0
x[40|14|10|38],1.0
x[41|5|7|54],1.0
x[42|1|4|38],1.0
x[43|11|7|51],1.0
x[44|12|8|37],1.0
x[45|1|9|48],1.0
y[1|2|2|50],1.0
y[1|2|2|51],1.0
y[1|2|2|52],1.0
y[1|2|2|53],1.0
y[1|2|2|54],1.0
y[1|2|2|55],1.0
y[1|2|2|56],1.0
y[1|2|2|57],1.0
y[1|2|2|58],1.0
y[2|2|9|62],1.0
y[2|2|9|63],1.0
y[2|2|9|64],1.0
y[2|2|9|65],1.0
y[2|2|9|66],1.0
y[2|2|9|67],1.0
y[2|2|9|68],1.0
y[2|2|9|69],1.0
y[3|14|10|36],1.0
y[3|14|10|37],1.0
y[4|1|7|42],1.0
y[4|1|7|43],1.0
y[4|1|7|44],1.0
y[4|1|7|45],1.0
y[4|1|7|46],1.0
y[4|1|7|47],1.0
y[4|1|7|48],1.0
y[4|1|7|49],1.0
y[5|15|9|66],1.0
y[5|15|9|67],1.0
y[5|15|9|68],1.0
y[5|15|9|69],1.0
y[5|15|9|70],1.0
y[5|15|9|71],1.0
y[5|15|9|72],1.0
y[6|2|3|51],1.0
y[6|2|3|52],1.0
y[6|2|3|53],1.0
y[6|2|3|54],1.0
y[6|2|3|55],1.0
y[6|2|3|56],1.0
y[6|2|3|57],1.0
y[6|2|3|58],1.0
y[6|2|3|59],1.0
y[6|2|3|60],1.0
y[6|2|3|61],1.0
y[7|4|8|55],1.0
y[7|4|8|56],1.0
y[7|4|8|57],1.0
y[7|4|8|58],1.0
y[7|4|8|59],1.0
y[7|4|8|60],1.0
y[7|4|8|61],1.0
y[8|7|10|60],1.0
y[8|7|10|61],1.0
y[8|7|10|62],1.0
y[8|7|10|63],1.0
y[8|7|10|64],1.0
y[8|7|10|65],1.0
y[8|7|10|66],1.0
y[8|7|10|67],1.0
y[8|7|10|68],1.0
y[8|7|10|69],1.0
y[8|7|10|70],1.0
y[8|7|10|71],1.0
y[8|7|10|72],1.0
y[8|7|10|73],1.0
y[9|3|8|53],1.0
y[9|3|8|54],1.0
y[9|3|8|55],1.0
y[9|3|8|56],1.0
y[9|3|8|57],1.0
y[9|3|8|58],1.0
y[9|3|8|59],1.0
y[9|3|8|60],1.0
y[9|3|8|61],1.0
y[9|3|8|62],1.0
y[9|3|8|63],1.0
y[10|12|10|47],1.0
y[10|12|10|48],1.0
y[10|12|10|49],1.0
y[10|12|10|50],1.0
y[10|12|10|51],1.0
y[10|12|10|52],1.0
y[10|12|10|53],1.0
y[10|12|10|54],1.0
y[10|12|10|55],1.0
y[10|12|10|56],1.0
y[11|10|7|48],1.0
y[11|10|7|49],1.0
y[11|10|7|50],1.0
y[11|10|7|51],1.0
y[11|10|7|52],1.0
y[11|10|7|53],1.0
y[11|10|7|54],1.0
y[11|10|7|55],1.0
y[11|10|7|56],1.0
y[11|10|7|57],1.0
y[11|10|7|58],1.0
y[11|10|7|59],1.0
y[11|10|7|60],1.0
y[11|10|7|61],1.0
y[12|5|10|56],1.0
y[12|5|10|57],1.0
y[12|5|10|58],1.0
y[12|5|10|59],1.0
y[12|5|10|60],1.0
y[12|5|10|61],1.0
y[12|5|10|62],1.0
y[12|5|10|63],1.0
y[12|5|10|64],1.0
y[12|5|10|65],1.0
y[13|9|9|42],1.0
y[13|9|9|43],1.0
y[13|9|9|44],1.0
y[13|9|9|45],1.0
y[13|9|9|46],1.0
y[13|9|9|47],1.0
y[13|9|9|48],1.0
y[13|9|9|49],1.0
y[14|7|1|55],1.0
y[14|7|1|56],1.0
y[14|7|1|57],1.0
y[14|7|1|58],1.0
y[14|7|1|59],1.0
y[14|7|1|60],1.0
y[14|7|1|61],1.0
y[14|7|1|62],1.0
y[14|7|1|63],1.0
y[14|7|1|64],1.0
y[14|7|1|65],1.0
y[14|7|1|66],1.0
y[14|7|1|67],1.0
y[15|9|2|45],1.0
y[15|9|2|46],1.0
y[15|9|2|47],1.0
y[15|9|2|48],1.0
y[15|9|2|49],1.0
y[15|9|2|50],1.0
y[15|9|2|51],1.0
y[16|1|6|38],1.0
y[16|1|6|39],1.0
y[16|1|6|40],1.0
y[16|1|6|41],1.0
y[16|1|6|42],1.0
y[16|1|6|43],1.0
y[17|4|1|36],1.0
y[17|4|1|37],1.0
y[17|4|1|38],1.0
y[17|4|1|39],1.0
y[17|4|1|40],1.0
y[18|10|6|40],1.0
y[18|10|6|41],1.0
y[18|10|6|42],1.0
y[18|10|6|43],1.0
y[18|10|6|44],1.0
y[18|10|6|45],1.0
y[18|10|6|46],1.0
y[18|10|6|47],1.0
y[18|10|6|48],1.0
y[18|10|6|49],1.0
y[19|15|2|53],1.0
y[19|15|2|54],1.0
y[19|15|2|55],1.0
y[19|15|2|56],1.0
y[19|15|2|57],1.0
y[19|15|2|58],1.0
y[19|15|2|59],1.0
y[19|15|2|60],1.0
y[19|15|2|61],1.0
y[19|15|2|62],1.0
y[19|15|2|63],1.0
y[19|15|2|64],1.0
y[19|15|2|65],1.0
y[20|14|7|54],1.0
y[20|14|7|55],1.0
y[20|14|7|56],1.0
y[20|14|7|57],1.0
y[20|14|7|58],1.0
y[20|14|7|59],1.0
y[20|14|7|60],1.0
y[20|14|7|61],1.0
y[20|14|7|62],1.0
y[20|14|7|63],1.0
y[20|14|7|64],1.0
y[20|14|7|65],1.0
y[20|14|7|66],1.0
y[21|2|6|54],1.0
y[21|2|6|55],1.0
y[21|2|6|56],1.0
y[21|2|6|57],1.0
y[21|2|6|58],1.0
y[21|2|6|59],1.0
y[21|2|6|60],1.0
y[21|2|6|61],1.0
y[22|1|6|35],1.0
y[22|1|6|36],1.0
y[22|1|6|37],1.0
y[23|14|6|36],1.0
y[23|14|6|37],1.0
y[23|14|6|38],1.0
y[24|7|2|54],1.0
y[24|7|2|55],1.0
y[24|7|2|56],1.0
