Elemento,Valor
Pacientes Totales,45
Pacientes Prioritarios,9
Médicos Totales,19
Días Totales,10

Tiempo de Ejecución (s),48.01408505439758
Valor de la Función Objetivo,9653199.699999709
Nodos utilizados,0.0

x[1|9|10|47],1.0
x[2|6|1|66],1.0
x[3|1|1|65],1.0
x[4|8|10|42],1.0
x[5|1|4|49],1.0
x[6|7|3|44],1.0
x[7|14|1|36],1.0
x[8|10|3|53],1.0
x[9|3|2|44],1.0
x[10|4|7|37],1.0
x[11|16|2|61],1.0
x[12|16|4|53],1.0
x[13|15|1|69],1.0
x[14|10|9|54],1.0
x[15|13|2|37],1.0
x[16|4|1|38],1.0
x[17|8|6|37],1.0
x[18|3|1|33],1.0
x[19|17|4|59],1.0
x[20|10|7|51],1.0
x[21|13|10|53],1.0
x[22|19|4|47],1.0
x[23|19|1|42],1.0
x[24|18|7|52],1.0
x[25|14|2|56],1.0
x[26|11|6|66],1.0
x[27|12|6|51],1.0
x[28|6|2|60],1.0
x[29|14|3|47],1.0
x[30|8|10|54],1.0
x[31|4|1|56],1.0
x[32|3|5|45],1.0
x[33|10|5|37],1.0
x[34|10|9|42],1.0
x[35|17|1|76],1.0
x[36|7|7|50],1.0
x[37|11|4|48],1.0
x[38|9|7|64],1.0
x[39|10|4|43],1.0
x[40|16|7|34],1.0
x[41|10|1|61],1.0
x[42|1|1|48],1.0
x[43|11|5|64],1.0
x[44|11|1|50],1.0
x[45|1|4|58],1.0
y[1|9|10|47],1.0
y[1|9|10|48],1.0
y[1|9|10|49],1.0
y[1|9|10|50],1.0
y[1|9|10|51],1.0
y[1|9|10|52],1.0
y[1|9|10|53],1.0
y[1|9|10|54],1.0
y[1|9|10|55],1.0
y[2|6|1|66],1.0
y[2|6|1|67],1.0
y[2|6|1|68],1.0
y[2|6|1|69],1.0
y[2|6|1|70],1.0
y[2|6|1|71],1.0
y[2|6|1|72],1.0
y[2|6|1|73],1.0
y[3|1|1|65],1.0
y[3|1|1|66],1.0
y[4|8|10|42],1.0
y[4|8|10|43],1.0
y[4|8|10|44],1.0
y[4|8|10|45],1.0
y[4|8|10|46],1.0
y[4|8|10|47],1.0
y[4|8|10|48],1.0
y[4|8|10|49],1.0
y[5|1|4|49],1.0
y[5|1|4|50],1.0
y[5|1|4|51],1.0
y[5|1|4|52],1.0
y[5|1|4|53],1.0
y[5|1|4|54],1.0
y[5|1|4|55],1.0
y[6|7|3|44],1.0
y[6|7|3|45],1.0
y[6|7|3|46],1.0
y[6|7|3|47],1.0
y[6|7|3|48],1.0
y[6|7|3|49],1.0
y[6|7|3|50],1.0
y[6|7|3|51],1.0
y[6|7|3|52],1.0
y[6|7|3|53],1.0
y[6|7|3|54],1.0
y[7|14|1|36],1.0
y[7|14|1|37],1.0
y[7|14|1|38],1.0
y[7|14|1|39],1.0
y[7|14|1|40],1.0
y[7|14|1|41],1.0
y[7|14|1|42],1.0
y[8|10|3|53],1.0
y[8|10|3|54],1.0
y[8|10|3|55],1.0
y[8|10|3|56],1.0
y[8|10|3|57],1.0
y[8|10|3|58],1.0
y[8|10|3|59],1.0
y[8|10|3|60],1.0
y[8|10|3|61],1.0
y[8|10|3|62],1.0
y[8|10|3|63],1.0
y[8|10|3|64],1.0
y[8|10|3|65],1.0
y[8|10|3|66],1.0
y[9|3|2|44],1.0
y[9|3|2|45],1.0
y[9|3|2|46],1.0
y[9|3|2|47],1.0
y[9|3|2|48],1.0
y[9|3|2|49],1.0
y[9|3|2|50],1.0
y[9|3|2|51],1.0
y[9|3|2|52],1.0
y[9|3|2|53],1.0
y[9|3|2|54],1.0
y[10|4|7|37],1.0
y[10|4|7|38],1.0
y[10|4|7|39],1.0
y[10|4|7|40],1.0
y[10|4|7|41],1.0
y[10|4|7|42],1.0
y[10|4|7|43],1.0
y[10|4|7|44],1.0
y[10|4|7|45],1.0
y[10|4|7|46],1.0
y[11|16|2|61],1.0
y[11|16|2|62],1.0
y[11|16|2|63],1.0
y[11|16|2|64],1.0
y[11|16|2|65],1.0
y[11|16|2|66],1.0
y[11|16|2|67],1.0
y[11|16|2|68],1.0
y[11|16|2|69],1.0
y[11|16|2|70],1.0
y[11|16|2|71],1.0
y[11|16|2|72],1.0
y[11|16|2|73],1.0
y[11|16|2|74],1.0
y[12|16|4|53],1.0
y[12|16|4|54],1.0
y[12|16|4|55],1.0
y[12|16|4|56],1.0
y[12|16|4|57],1.0
y[12|16|4|58],1.0
y[12|16|4|59],1.0
y[12|16|4|60],1.0
y[12|16|4|61],1.0
y[12|16|4|62],1.0
y[13|15|1|69],1.0
y[13|15|1|70],1.0
y[13|15|1|71],1.0
y[13|15|1|72],1.0
y[13|15|1|73],1.0
y[13|15|1|74],1.0
y[13|15|1|75],1.0
y[13|15|1|76],1.0
y[14|10|9|54],1.0
y[14|10|9|55],1.0
y[14|10|9|56],1.0
y[14|10|9|57],1.0
y[14|10|9|58],1.0
y[14|10|9|59],1.0
y[14|10|9|60],1.0
y[14|10|9|61],1.0
y[14|10|9|62],1.0
y[14|10|9|63],1.0
y[14|10|9|64],1.0
y[14|10|9|65],1.0
y[14|10|9|66],1.0
y[15|13|2|37],1.0
y[15|13|2|38],1.0
y[15|13|2|39],1.0
y[15|13|2|40],1.0
y[15|13|2|41],1.0
y[15|13|2|42],1.0
y[15|13|2|43],1.0
y[16|4|1|38],1.0
y[16|4|1|39],1.0
y[16|4|1|40],1.0
y[16|4|1|41],1.0
y[16|4|1|42],1.0
y[16|4|1|43],1.0
y[17|8|6|37],1.0
y[17|8|6|38],1.0
y[17|8|6|39],1.0
y[17|8|6|40],1.0
y[17|8|6|41],1.0
y[18|3|1|33],1.0
y[18|3|1|34],1.0
y[18|3|1|35],1.0
y[18|3|1|36],1.0
y[18|3|1|37],1.0
y[18|3|1|38],1.0
y[18|3|1|39],1.0
y[18|3|1|40],1.0
y[18|3|1|41],1.0
y[18|3|1|42],1.0
y[19|17|4|59],1.0
y[19|17|4|60],1.0
y[19|17|4|61],1.0
y[19|17|4|62],1.0
y[19|17|4|63],1.0
y[19|17|4|64],1.0
y[19|17|4|65],1.0
y[19|17|4|66],1.0
y[19|17|4|67],1.0
y[19|17|4|68],1.0
y[19|17|4|69],1.0
y[19|17|4|70],1.0
y[19|17|4|71],1.0
y[20|10|7|51],1.0
y[20|10|7|52],1.0
y[20|10|7|53],1.0
y[20|10|7|54],1.0
y[20|10|7|55],1.0
y[20|10|7|56],1.0
y[20|10|7|57],1.0
y[20|10|7|58],1.0
y[20|10|7|59],1.0
y[20|10|7|60],1.0
y[20|10|7|61],1.0
y[20|10|7|62],1.0
y[20|10|7|63],1.0
y[21|13|10|53],1.0
y[21|13|10|54],1.0
y[21|13|10|55],1.0
y[21|13|10|56],1.0
y[21|13|10|57],1.0
y[21|13|10|58],1.0
y[21|13|10|59],1.0
y[21|13|10|60],1.0
y[22|19|4|47],1.0
y[22|19|4|48],1.0
y[22|19|4|49],1.0
y[23|19|1|42],1.0
y[23|19|1|43],1.0
y[23|19|1|44],1.0
y[24|18|7|52],1.0
y[24|18|7|53],1.0
y[24|18|7|54],1.0
