Elemento,Valor
Pacientes Totales,45
Pacientes Prioritarios,9
Médicos Totales,10
Días Totales,7

Tiempo de Ejecución (s),18.619391918182373
Valor de la Función Objetivo,9815230.949999709
Nodos utilizados,0.0

x[1|3|2|36],1.0
x[2|5|5|62],1.0
x[3|1|1|95],1.0
x[4|8|7|43],1.0
x[5|6|4|54],1.0
x[6|9|7|39],1.0
x[7|7|1|62],1.0
x[8|2|6|44],1.0
x[9|1|2|33],1.0
x[10|4|1|51],1.0
x[11|6|7|55],1.0
x[12|7|2|43],1.0
x[13|3|3|54],1.0
x[14|8|6|38],1.0
x[15|8|6|96],1.0
x[16|7|3|49],1.0
x[17|1|7|38],1.0
x[18|8|3|40],1.0
x[19|10|4|51],1.0
x[20|1|7|92],1.0
x[21|3|6|96],1.0
x[22|2|4|58],1.0
x[23|2|2|50],1.0
x[24|7|4|96],1.0
x[25|7|4|51],1.0
x[26|2|1|33],1.0
x[27|10|6|37],1.0
x[28|1|3|55],1.0
x[29|10|2|37],1.0
x[30|3|2|96],1.0
x[31|4|1|96],1.0
x[32|10|6|96],1.0
x[33|2|5|40],1.0
x[34|3|1|53],1.0
x[35|9|4|35],1.0
x[36|7|1|49],1.0
x[37|7|7|92],1.0
x[38|10|5|94],1.0
x[39|9|2|49],1.0
x[40|7|1|94],1.0
x[41|6|2|45],1.0
x[42|1|6|48],1.0
x[43|5|7|42],1.0
x[44|1|4|96],1.0
x[45|3|1|37],1.0
y[1|3|2|36],1.0
y[1|3|2|37],1.0
y[1|3|2|38],1.0
y[1|3|2|39],1.0
y[1|3|2|40],1.0
y[1|3|2|41],1.0
y[1|3|2|42],1.0
y[1|3|2|43],1.0
y[1|3|2|44],1.0
y[1|3|2|45],1.0
y[1|3|2|46],1.0
y[1|3|2|47],1.0
y[2|5|5|62],1.0
y[2|5|5|63],1.0
y[2|5|5|64],1.0
y[2|5|5|65],1.0
y[2|5|5|66],1.0
y[2|5|5|67],1.0
y[2|5|5|68],1.0
y[2|5|5|69],1.0
y[2|5|5|70],1.0
y[2|5|5|71],1.0
y[2|5|5|72],1.0
y[2|5|5|73],1.0
y[3|1|1|95],1.0
y[3|1|1|96],1.0
y[4|8|7|43],1.0
y[4|8|7|44],1.0
y[4|8|7|45],1.0
y[4|8|7|46],1.0
y[4|8|7|47],1.0
y[4|8|7|48],1.0
y[4|8|7|49],1.0
y[4|8|7|50],1.0
y[4|8|7|51],1.0
y[4|8|7|52],1.0
y[4|8|7|53],1.0
y[4|8|7|54],1.0
y[5|6|4|54],1.0
y[5|6|4|55],1.0
y[5|6|4|56],1.0
y[5|6|4|57],1.0
y[5|6|4|58],1.0
y[5|6|4|59],1.0
y[5|6|4|60],1.0
y[5|6|4|61],1.0
y[5|6|4|62],1.0
y[5|6|4|63],1.0
y[5|6|4|64],1.0
y[6|9|7|39],1.0
y[6|9|7|40],1.0
y[6|9|7|41],1.0
y[6|9|7|42],1.0
y[6|9|7|43],1.0
y[6|9|7|44],1.0
y[6|9|7|45],1.0
y[6|9|7|46],1.0
y[6|9|7|47],1.0
y[6|9|7|48],1.0
y[6|9|7|49],1.0
y[6|9|7|50],1.0
y[6|9|7|51],1.0
y[7|7|1|62],1.0
y[7|7|1|63],1.0
y[7|7|1|64],1.0
y[7|7|1|65],1.0
y[7|7|1|66],1.0
y[7|7|1|67],1.0
y[7|7|1|68],1.0
y[7|7|1|69],1.0
y[7|7|1|70],1.0
y[7|7|1|71],1.0
y[7|7|1|72],1.0
y[8|2|6|44],1.0
y[8|2|6|45],1.0
y[8|2|6|46],1.0
y[8|2|6|47],1.0
y[8|2|6|48],1.0
y[8|2|6|49],1.0
y[8|2|6|50],1.0
y[8|2|6|51],1.0
y[8|2|6|52],1.0
y[8|2|6|53],1.0
y[8|2|6|54],1.0
y[8|2|6|55],1.0
y[8|2|6|56],1.0
y[9|1|2|33],1.0
y[9|1|2|34],1.0
y[9|1|2|35],1.0
y[9|1|2|36],1.0
y[9|1|2|37],1.0
y[9|1|2|38],1.0
y[9|1|2|39],1.0
y[9|1|2|40],1.0
y[9|1|2|41],1.0
y[9|1|2|42],1.0
y[9|1|2|43],1.0
y[9|1|2|44],1.0
y[9|1|2|45],1.0
y[10|4|1|51],1.0
y[10|4|1|52],1.0
y[10|4|1|53],1.0
y[10|4|1|54],1.0
y[10|4|1|55],1.0
y[10|4|1|56],1.0
y[10|4|1|57],1.0
y[10|4|1|58],1.0
y[10|4|1|59],1.0
y[10|4|1|60],1.0
y[10|4|1|61],1.0
y[10|4|1|62],1.0
y[10|4|1|63],1.0
y[11|6|7|55],1.0
y[11|6|7|56],1.0
y[11|6|7|57],1.0
y[11|6|7|58],1.0
y[11|6|7|59],1.0
y[11|6|7|60],1.0
y[11|6|7|61],1.0
y[11|6|7|62],1.0
y[11|6|7|63],1.0
y[11|6|7|64],1.0
y[11|6|7|65],1.0
y[11|6|7|66],1.0
y[12|7|2|43],1.0
y[12|7|2|44],1.0
y[12|7|2|45],1.0
y[12|7|2|46],1.0
y[12|7|2|47],1.0
y[12|7|2|48],1.0
y[12|7|2|49],1.0
y[12|7|2|50],1.0
y[12|7|2|51],1.0
y[12|7|2|52],1.0
y[12|7|2|53],1.0
y[12|7|2|54],1.0
y[12|7|2|55],1.0
y[12|7|2|56],1.0
y[13|3|3|54],1.0
y[13|3|3|55],1.0
y[13|3|3|56],1.0
y[13|3|3|57],1.0
y[13|3|3|58],1.0
y[13|3|3|59],1.0
y[13|3|3|60],1.0
y[13|3|3|61],1.0
y[13|3|3|62],1.0
y[13|3|3|63],1.0
y[13|3|3|64],1.0
y[14|8|6|38],1.0
y[14|8|6|39],1.0
y[14|8|6|40],1.0
y[14|8|6|41],1.0
y[14|8|6|42],1.0
y[14|8|6|43],1.0
y[14|8|6|44],1.0
y[14|8|6|45],1.0
y[14|8|6|46],1.0
y[14|8|6|47],1.0
y[14|8|6|48],1.0
y[15|8|6|96],1.0
y[16|7|3|49],1.0
y[16|7|3|50],1.0
y[16|7|3|51],1.0
y[16|7|3|52],1.0
y[16|7|3|53],1.0
y[16|7|3|54],1.0
y[16|7|3|55],1.0
y[16|7|3|56],1.0
y[16|7|3|57],1.0
y[16|7|3|58],1.0
y[16|7|3|59],1.0
y[16|7|3|60],1.0
y[16|7|3|61],1.0
y[17|1|7|38],1.0
y[17|1|7|39],1.0
y[17|1|7|40],1.0
y[17|1|7|41],1.0
y[17|1|7|42],1.0
y[17|1|7|43],1.0
y[17|1|7|44],1.0
y[17|1|7|45],1.0
y[17|1|7|46],1.0
y[17|1|7|47],1.0
y[17|1|7|48],1.0
y[17|1|7|49],1.0
y[17|1|7|50],1.0
y[17|1|7|51],1.0
y[18|8|3|40],1.0
y[18|8|3|41],1.0
y[18|8|3|42],1.0
y[18|8|3|43],1.0
y[18|8|3|44],1.0
y[18|8|3|45],1.0
y[18|8|3|46],1.0
y[18|8|3|47],1.0
y[18|8|3|48],1.0
y[18|8|3|49],1.0
y[18|8|3|50],1.0
y[18|8|3|51],1.0
y[18|8|3|52],1.0
y[18|8|3|53],1.0
y[19|10|4|51],1.0
