Elemento,Valor
Pacientes Totales,50
Pacientes Prioritarios,10
Médicos Totales,19
Días Totales,7

Tiempo de Ejecución (s),21.839848041534424
Valor de la Función Objetivo,10745389.699999671
Nodos utilizados,0.0

x[1|16|6|35],1.0
x[2|19|2|36],1.0
x[3|17|6|40],1.0
x[4|14|1|66],1.0
x[5|10|5|41],1.0
x[6|9|4|43],1.0
x[7|9|4|64],1.0
x[8|11|1|44],1.0
x[9|18|7|48],1.0
x[10|8|1|59],1.0
x[11|7|7|57],1.0
x[12|12|7|50],1.0
x[13|16|5|52],1.0
x[14|3|3|51],1.0
x[15|13|4|49],1.0
x[16|10|4|53],1.0
x[17|7|2|44],1.0
x[18|17|4|70],1.0
x[19|6|7|44],1.0
x[20|13|3|49],1.0
x[21|12|6|42],1.0
x[22|16|4|45],1.0
x[23|16|6|56],1.0
x[24|3|2|45],1.0
x[25|5|2|53],1.0
x[26|5|7|45],1.0
x[27|6|4|50],1.0
x[28|17|5|66],1.0
x[29|17|3|50],1.0
x[30|3|5|65],1.0
x[31|14|5|40],1.0
x[32|7|5|40],1.0
x[33|7|3|38],1.0
x[34|4|7|39],1.0
x[35|18|3|65],1.0
x[36|19|4|59],1.0
x[37|10|7|39],1.0
x[38|10|2|53],1.0
x[39|2|4|40],1.0
x[40|14|4|57],1.0
x[41|12|4|55],1.0
x[42|3|6|41],1.0
x[43|19|5|56],1.0
x[44|13|1|37],1.0
x[45|8|1|72],1.0
x[46|8|3|39],1.0
x[47|3|7|39],1.0
x[48|9|2|63],1.0
x[49|1|5|41],1.0
x[50|1|7|34],1.0
y[1|16|6|35],1.0
y[1|16|6|36],1.0
y[1|16|6|37],1.0
y[1|16|6|38],1.0
y[1|16|6|39],1.0
y[1|16|6|40],1.0
y[1|16|6|41],1.0
y[1|16|6|42],1.0
y[1|16|6|43],1.0
y[1|16|6|44],1.0
y[1|16|6|45],1.0
y[1|16|6|46],1.0
y[1|16|6|47],1.0
y[2|19|2|36],1.0
y[2|19|2|37],1.0
y[2|19|2|38],1.0
y[2|19|2|39],1.0
y[2|19|2|40],1.0
y[2|19|2|41],1.0
y[2|19|2|42],1.0
y[2|19|2|43],1.0
y[2|19|2|44],1.0
y[2|19|2|45],1.0
y[2|19|2|46],1.0
y[2|19|2|47],1.0
y[3|17|6|40],1.0
y[3|17|6|41],1.0
y[3|17|6|42],1.0
y[3|17|6|43],1.0
y[3|17|6|44],1.0
y[3|17|6|45],1.0
y[3|17|6|46],1.0
y[3|17|6|47],1.0
y[3|17|6|48],1.0
y[3|17|6|49],1.0
y[3|17|6|50],1.0
y[3|17|6|51],1.0
y[4|14|1|66],1.0
y[4|14|1|67],1.0
y[4|14|1|68],1.0
y[4|14|1|69],1.0
y[4|14|1|70],1.0
y[4|14|1|71],1.0
y[4|14|1|72],1.0
y[4|14|1|73],1.0
y[4|14|1|74],1.0
y[4|14|1|75],1.0
y[5|10|5|41],1.0
y[5|10|5|42],1.0
y[5|10|5|43],1.0
y[5|10|5|44],1.0
y[5|10|5|45],1.0
y[5|10|5|46],1.0
y[5|10|5|47],1.0
y[5|10|5|48],1.0
y[5|10|5|49],1.0
y[6|9|4|43],1.0
y[6|9|4|44],1.0
y[6|9|4|45],1.0
y[6|9|4|46],1.0
y[6|9|4|47],1.0
y[6|9|4|48],1.0
y[6|9|4|49],1.0
y[6|9|4|50],1.0
y[7|9|4|64],1.0
y[7|9|4|65],1.0
y[7|9|4|66],1.0
y[7|9|4|67],1.0
y[7|9|4|68],1.0
y[7|9|4|69],1.0
y[7|9|4|70],1.0
y[8|11|1|44],1.0
y[8|11|1|45],1.0
y[8|11|1|46],1.0
y[8|11|1|47],1.0
y[8|11|1|48],1.0
y[8|11|1|49],1.0
y[8|11|1|50],1.0
y[8|11|1|51],1.0
y[8|11|1|52],1.0
y[8|11|1|53],1.0
y[8|11|1|54],1.0
y[8|11|1|55],1.0
y[9|18|7|48],1.0
y[9|18|7|49],1.0
y[9|18|7|50],1.0
y[9|18|7|51],1.0
y[9|18|7|52],1.0
y[9|18|7|53],1.0
y[9|18|7|54],1.0
y[9|18|7|55],1.0
y[9|18|7|56],1.0
y[9|18|7|57],1.0
y[10|8|1|59],1.0
y[10|8|1|60],1.0
y[10|8|1|61],1.0
y[10|8|1|62],1.0
y[10|8|1|63],1.0
y[11|7|7|57],1.0
y[11|7|7|58],1.0
y[11|7|7|59],1.0
y[11|7|7|60],1.0
y[11|7|7|61],1.0
y[12|12|7|50],1.0
y[12|12|7|51],1.0
y[12|12|7|52],1.0
y[12|12|7|53],1.0
y[12|12|7|54],1.0
y[12|12|7|55],1.0
y[12|12|7|56],1.0
y[12|12|7|57],1.0
y[12|12|7|58],1.0
y[12|12|7|59],1.0
y[12|12|7|60],1.0
y[12|12|7|61],1.0
y[12|12|7|62],1.0
y[12|12|7|63],1.0
y[13|16|5|52],1.0
y[13|16|5|53],1.0
y[13|16|5|54],1.0
y[13|16|5|55],1.0
y[13|16|5|56],1.0
y[13|16|5|57],1.0
y[13|16|5|58],1.0
y[13|16|5|59],1.0
y[13|16|5|60],1.0
y[13|16|5|61],1.0
y[14|3|3|51],1.0
y[14|3|3|52],1.0
y[14|3|3|53],1.0
y[14|3|3|54],1.0
y[14|3|3|55],1.0
y[14|3|3|56],1.0
y[14|3|3|57],1.0
y[15|13|4|49],1.0
